input_len,concurrency,ttft_ms,prefill_tok_s,tpot_ms,itl_ms,itl_med_ms,itl_p99_ms,decode_tok_s,req_per_s,out_tok_s,ok_reqs,gen_toks
1024,1,190.99,5361.5,20.310,20.150,20.310,20.520,49.24,0.360,46.2,8,1024
1024,4,9288.31,110.2,23.740,23.550,22.430,29.670,42.12,0.310,39.9,32,4096
1024,16,41457.44,24.7,21.530,21.370,20.560,29.700,46.45,0.340,43.8,128,16384
1024,64,160183.89,6.4,21.250,21.080,20.640,29.680,47.06,0.350,44.3,256,32768
