input_len,concurrency,ttft_ms,prefill_tok_s,tpot_ms,itl_ms,itl_med_ms,itl_p99_ms,decode_tok_s,req_per_s,out_tok_s,ok_reqs,gen_toks
4096,1,620.32,6603.0,33.980,33.710,33.980,34.190,29.43,0.200,25.9,8,1024
4096,4,1170.07,3500.6,49.120,48.740,37.010,643.650,20.36,0.540,69.0,32,4096
4096,8,1395.94,2934.2,66.610,66.090,37.520,653.900,15.01,0.810,103.7,64,8192
4096,16,9967.60,410.9,70.290,69.740,36.760,646.340,14.23,0.830,105.7,128,16384
