input_len,concurrency,ttft_ms,prefill_tok_s,tpot_ms,itl_ms,itl_med_ms,itl_p99_ms,decode_tok_s,req_per_s,out_tok_s,ok_reqs,gen_toks
1024,1,147.20,6956.5,16.240,16.120,16.230,16.520,61.58,0.450,57.9,3,384
4096,1,500.10,8190.4,16.300,16.170,16.300,16.510,61.35,0.390,49.8,3,384
8192,1,1058.14,7741.9,16.350,16.230,16.350,16.500,61.16,0.320,40.8,3,384
16384,1,2462.75,6652.7,16.470,16.340,16.450,16.730,60.72,0.220,28.1,3,384
32768,1,6432.31,5094.3,16.710,16.580,16.700,17.020,59.84,0.120,15.0,3,384
65536,1,211.07,310494.1,0.000,0.000,0.000,0.000,nan,4.730,127.7,3,81
