input_len,concurrency,ttft_ms,prefill_tok_s,tpot_ms,itl_ms,itl_med_ms,itl_p99_ms,decode_tok_s,req_per_s,out_tok_s,ok_reqs,gen_toks
1024,1,139.15,7359.0,16.250,16.120,16.250,16.510,61.54,0.450,58.1,3,384
4096,1,440.60,9296.4,16.270,16.150,16.270,16.470,61.46,0.400,51.0,3,384
8192,1,885.35,9252.8,16.370,16.240,16.370,16.600,61.09,0.340,43.2,3,384
16384,1,1920.39,8531.6,16.480,16.350,16.470,16.730,60.68,0.250,31.9,3,384
32768,1,4533.85,7227.4,16.720,16.590,16.720,16.850,59.81,0.150,19.2,3,384
65536,1,11996.42,5463.0,17.260,17.120,17.260,17.520,57.94,0.070,9.0,3,384
