input_len,concurrency,ttft_ms,prefill_tok_s,tpot_ms,itl_ms,itl_med_ms,itl_p99_ms,decode_tok_s,req_per_s,out_tok_s,ok_reqs,gen_toks
1024,1,191.18,5356.2,20.290,20.140,20.290,20.490,49.29,0.360,46.2,3,384
4096,1,621.53,6590.2,20.390,20.230,20.380,20.650,49.04,0.310,39.9,3,384
8192,1,1256.05,6522.0,20.490,20.330,20.480,20.750,48.80,0.260,33.2,3,384
16384,1,2761.81,5932.3,20.680,20.520,20.680,20.900,48.36,0.190,23.8,3,384
32768,1,6690.24,4897.9,21.070,20.900,21.060,21.280,47.46,0.110,13.7,3,384
65536,1,18236.69,3593.6,21.810,21.640,21.820,21.930,45.85,0.050,6.1,3,384
