input_len,concurrency,ttft_ms,prefill_tok_s,tpot_ms,itl_ms,itl_med_ms,itl_p99_ms,decode_tok_s,req_per_s,out_tok_s,ok_reqs,gen_toks
1024,1,391.13,2618.1,31.840,31.590,31.840,32.100,31.41,0.230,28.9,3,384
4096,1,1328.16,3084.0,32.020,31.770,32.020,32.300,31.23,0.190,23.7,3,384
8192,1,2729.83,3000.9,32.300,32.040,32.300,32.510,30.96,0.150,18.7,3,384
16384,1,6054.51,2706.1,32.840,32.580,32.840,33.070,30.45,0.100,12.5,3,384
32768,1,14789.82,2215.6,33.900,33.640,33.900,34.190,29.50,0.050,6.7,3,384
65536,1,40529.25,1617.0,35.940,35.660,35.940,36.200,27.82,0.020,2.8,3,384
