input_len,concurrency,ttft_ms,prefill_tok_s,tpot_ms,itl_ms,itl_med_ms,itl_p99_ms,decode_tok_s,req_per_s,out_tok_s,ok_reqs,gen_toks
1024,1,194.09,5275.9,20.350,20.190,20.350,20.500,49.14,0.360,46.1,3,384
4096,1,630.25,6499.0,20.420,20.260,20.420,20.520,48.97,0.310,39.7,3,384
8192,1,1278.51,6407.5,20.500,20.340,20.500,20.710,48.78,0.260,33.0,3,384
