input_len,concurrency,ttft_ms,prefill_tok_s,tpot_ms,itl_ms,itl_med_ms,itl_p99_ms,decode_tok_s,req_per_s,out_tok_s,ok_reqs,gen_toks
1024,1,395.75,2587.5,32.050,31.800,32.050,32.370,31.20,0.220,28.7,3,384
4096,1,1338.90,3059.2,32.170,31.920,32.170,32.470,31.08,0.180,23.6,3,384
8192,1,2751.47,2977.3,32.420,32.170,32.410,32.670,30.85,0.150,18.6,3,384
16384,1,6091.47,2689.7,32.890,32.640,32.890,33.090,30.40,0.100,12.5,3,384
32768,1,14841.00,2207.9,33.940,33.670,33.930,34.220,29.46,0.050,6.7,3,384
65536,1,211.21,310288.3,0.000,0.000,0.000,0.000,nan,4.730,127.6,3,81
