# NVIDIA H100 80GB HBM3, 132 SMs, cold weights, 11 repetitions; synthetic BF16 inputs
M,N,K,variant,us,weight_GBs,lt_mismatches,max_abs_lt,cpu_max_abs,cpu_failures,repeat_mismatches
32,3840,15360,transpose_bk256_d2_s1,120.480,979.12,810,0.0078125,0.003687754,0,0
32,3840,15360,driver_transpose_bk128_d3_s1,134.592,876.46,810,0.0078125,0.003687754,0,0
32,3840,15360,driver_transpose_bk256_d2_s1,126.112,935.40,810,0.0078125,0.003687754,0,0
32,3840,15360,transpose_bk128_d3_s4,56.192,2099.32,349,0.0078125,0.003687754,0,0
32,3840,15360,transpose_bk256_d2_s4,55.328,2132.10,349,0.0078125,0.003687754,0,0
32,3840,15360,driver_transpose_bk128_d3_s4,56.544,2086.25,349,0.0078125,0.003687754,0,0
32,3840,15360,driver_transpose_bk256_d2_s4,56.640,2082.71,349,0.0078125,0.003687754,0,0
32,3840,15360,transpose_bk128_d3_s8,55.968,2107.72,309,0.0078125,0.003687754,0,0
32,3840,15360,transpose_bk256_d2_s8,57.088,2066.37,306,0.0078125,0.003687754,0,0
32,3840,15360,driver_transpose_bk128_d3_s8,56.800,2076.85,309,0.0078125,0.003687754,0,0
32,3840,15360,driver_transpose_bk256_d2_s8,57.920,2036.69,306,0.0078125,0.003687754,0,0
32,4096,3840,cublaslt,15.424,2039.50,0,0,0.001908129,0,0
32,4096,3840,native_gemv_grid132,123.072,255.60,252,0.001953125,0.001908129,0,0
32,4096,3840,native_gemv_grid528,104.960,299.71,252,0.001953125,0.001908129,0,0
32,4096,3840,transpose_bk128_d3_s1,39.008,806.43,0,0,0.001908129,0,0
32,4096,3840,transpose_bk256_d2_s1,31.584,995.99,0,0,0.001908129,0,0
32,4096,3840,driver_transpose_bk128_d3_s1,35.392,888.82,0,0,0.001908129,0,0
32,4096,3840,driver_transpose_bk256_d2_s1,32.896,956.26,0,0,0.001908129,0,0
32,4096,3840,transpose_bk128_d3_s4,20.512,1533.60,237,0.001953125,0.001908129,0,0
32,4096,3840,transpose_bk256_d2_s4,20.896,1505.42,237,0.001953125,0.001908129,0,0
32,4096,3840,driver_transpose_bk128_d3_s4,20.608,1526.46,237,0.001953125,0.001908129,0,0
32,4096,3840,driver_transpose_bk256_d2_s4,21.152,1487.20,237,0.001953125,0.001908129,0,0
