==WARNING== Could not determine user home directory for section deployment.
==WARNING== Using "/opt/nvidia/nsight-compute/2026.1.0/target/linux-desktop-glibc_2_11_3-x64/../../sections" instead.
==WARNING== See https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html#faq.
==PROF== Connected to process 100996 (/home/lava/plow/plans/gemma4-12b-roofline/packed_flash_tma_profile)
==WARNING== Unable to access the following 6 metrics: ctc__rx_bytes_data_user.sum, ctc__rx_bytes_data_user.sum.pct_of_peak_sustained_elapsed, ctc__rx_bytes_data_user.sum.per_second, ctc__tx_bytes_data_user.sum, ctc__tx_bytes_data_user.sum.pct_of_peak_sustained_elapsed, ctc__tx_bytes_data_user.sum.per_second.


HD=256 KV=8 window=1024 maps=0 checked=4608 worst_relL2=0.00267912 max_abs=0.00110828 warm_us=nan PASS
HD=512 KV=1 window=0 maps=0 checked=9216 worst_relL2=0.00252794 max_abs=0.00117296 warm_us=nan PASS
HD=512 KV=1 window=0 maps=0 checked=9216 worst_relL2=0.00252794 max_abs=0.00117694 warm_us=nan PASS
HD=256 KV=8 window=1024 maps=1 checked=4608 worst_relL2=0.00267912 max_abs=0.00110828 warm_us=nan PASS
HD=512 KV=1 window=0 maps=1 checked=9216 worst_relL2=0.00252794 max_abs=0.00117296 warm_us=nan PASS
HD=512 KV=1 window=0 maps=1 checked=9216 worst_relL2=0.00252794 max_abs=0.00117694 warm_us=nan PASS
==PROF== Disconnected from process 100996
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Occupancy","Max Cluster Size","block","8",
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Occupancy","Overall GPU Occupancy","%","0",
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Occupancy","Cluster Occupancy","%","0",
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Occupancy","Block Limit Barriers","block","32",
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Occupancy","Block Limit SM","block","32",
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Occupancy","Block Limit Registers","block","1",
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Occupancy","Block Limit Shared Mem","block","1",
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Occupancy","Block Limit Warps","block","8",
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Occupancy","Theoretical Active Warps per SM","warp","8",
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Occupancy","Theoretical Occupancy","%","12.50",
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Occupancy","Achieved Occupancy","%","12.50",
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Occupancy","Achieved Active Warps Per SM","warp","8.00",
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Occupancy","","","","TheoreticalOccupancy","OPT","The 2.00 theoretical warps per scheduler this kernel can issue according to its occupancy are below the hardware maximum of 16. This kernel's theoretical occupancy (12.5%) is limited by the number of required registers, and the required amount of shared memory.","global","45.81"
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU and Memory Workload Distribution","Average DRAM Active Cycles","cycle","29946.40",
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU and Memory Workload Distribution","Total DRAM Elapsed Cycles","cycle","288946688",
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU and Memory Workload Distribution","Average L1 Active Cycles","cycle","617540.87",
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU and Memory Workload Distribution","Total L1 Elapsed Cycles","cycle","734677832",
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU and Memory Workload Distribution","Average L2 Active Cycles","cycle","1051818.46",
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU and Memory Workload Distribution","Total L2 Elapsed Cycles","cycle","377201120",
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU and Memory Workload Distribution","Average SM Active Cycles","cycle","617540.87",
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU and Memory Workload Distribution","Total SM Elapsed Cycles","cycle","734677832",
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU and Memory Workload Distribution","Average SMSP Active Cycles","cycle","611718.50",
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU and Memory Workload Distribution","Total SMSP Elapsed Cycles","cycle","2938711328",
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","WorkloadDistribution","","","","WorkloadImbalance","OPT","One or more SMs have a much lower number of active cycles than the average number of active cycles. Maximum instance value is 87.93% above the average, while the minimum instance value is 99.62% below the average.","global","9.756"
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","WorkloadDistribution","","","","WorkloadImbalance","OPT","One or more SMSPs have a much lower number of active cycles than the average number of active cycles. Maximum instance value is 87.71% above the average, while the minimum instance value is 99.58% below the average.","global","9.641"
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","WorkloadDistribution","","","","WorkloadImbalance","OPT","One or more L1 Slices have a much lower number of active cycles than the average number of active cycles. Maximum instance value is 87.93% above the average, while the minimum instance value is 99.62% below the average.","global","9.756"
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","WorkloadDistribution","","","","WorkloadImbalance","OPT","One or more L2 Slices have a much lower number of active cycles than the average number of active cycles. Maximum instance value is 47.17% above the average, while the minimum instance value is 68.45% below the average.","global","10.52"
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Source Counters","Branch Instructions Ratio","%","0.04",
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Source Counters","Branch Instructions","inst","7198528",
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Source Counters","Branch Efficiency","%","99.99",
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Source Counters","Avg. Divergent Branches","branches","1.70",
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","SourceCounters","","","","UncoalescedGlobalAccess","OPT","This workload has uncoalesced global accesses resulting in a total of 147840 excessive sectors (1% of the total 17249856 sectors). Check the L2 Theoretical Sectors Global Excessive table for the primary source locations. The CUDA Programming Guide (https://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#device-memory-accesses) has additional information on reducing uncoalesced device memory accesses.","global","0.1912"
"1","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","SourceCounters","","","","UncoalescedSharedAccess","OPT","This workload has uncoalesced shared accesses resulting in a total of 28672 excessive wavefronts (0% of the total 30648896 wavefronts). Check the L1 Wavefronts Shared Excessive table for the primary source locations. The CUDA Best Practices Guide (https://docs.nvidia.com/cuda/cuda-c-best-practices-guide/index.html#shared-memory-in-matrix-multiplication-c-ab) has an example on optimizing shared memory accesses.","global","0.01038"
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU Speed Of Light Throughput","DRAM Frequency","hz","2618972990.43",
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU Speed Of Light Throughput","SM Frequency","hz","1971441701.12",
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","3755721",
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU Speed Of Light Throughput","Memory Throughput","%","3.97",
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU Speed Of Light Throughput","DRAM Throughput","%","0.60",
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU Speed Of Light Throughput","Duration","ns","1882592",
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","34.76",
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU Speed Of Light Throughput","L2 Cache Throughput","%","1.83",
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU Speed Of Light Throughput","SM Active Cycles","cycle","424738.62",
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","5.76",
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","SpeedOfLight","","","","SOLBottleneck","OPT","This workload exhibits low compute throughput and memory bandwidth utilization relative to the peak performance of this device. Achieved compute throughput and/or memory bandwidth below 60.0% of peak typically indicate latency issues. Look at Scheduler Statistics and Warp State Statistics for potential reasons.","",""
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","SpeedOfLight_RooflineChart","","","","SOLFPRoofline","INF","The ratio of peak float (FP32) to double (FP64) performance on this device is 2:1. The workload achieved  close to 0% of this device's FP32 peak performance and 0% of its FP64 peak performance. See the Profiling Guide (https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html#roofline) for more details on roofline analysis.","",""
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","PM Sampling","Maximum Buffer Size","byte","59506688",
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","PM Sampling","Maximum Sampling Interval","ns","1500",
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","PM Sampling","# Pass Groups","","2",
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Compute Workload Analysis","Executed Ipc Active","inst/cycle","2.01",
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Compute Workload Analysis","Executed Ipc Elapsed","inst/cycle","0.23",
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Compute Workload Analysis","Issue Slots Busy","%","5.76",
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Compute Workload Analysis","Issued Ipc Active","inst/cycle","2.01",
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Compute Workload Analysis","SM Busy","%","5.76",
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","ComputeWorkloadAnalysis","","","","HighPipeUtilization","OPT","All compute pipelines are under-utilized. Either this workload is very small or it doesn't issue enough warps per scheduler. Check the Launch Statistics and Scheduler Statistics sections for further details.","local","97.4"
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Memory Workload Analysis","Local Memory Spilling Requests","","0",
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Memory Workload Analysis","Local Memory Spilling Request Overhead","%","0",
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Memory Workload Analysis","L2 Sector Promotion Misses","%","0.00",
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Memory Workload Analysis","Shared Memory Spilling Requests","","0",
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Memory Workload Analysis","Shared Memory Spilling Request Overhead","%","0",
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Memory Workload Analysis","Memory Throughput","byte/s","20259930988.76",
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Memory Workload Analysis","Mem Busy","%","3.97",
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Memory Workload Analysis","Max Bandwidth","%","3.59",
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Memory Workload Analysis","L1/TEX Hit Rate","%","4.09",
"2","100996","packed_flash_tma_profile","127.0.0.1","void run_attention<512, 32>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float *, float *, const int *, unsigned int, unsigned int, unsigned int, unsigned int, const void *)","1","7","(256, 1, 1)","(132, 1, 1)","0","9.0","Memory Workload Analysis","L2 Persisting Size","byte","9830400",
