========= COMPUTE-SANITIZER
# NVIDIA H100 80GB HBM3, 132 SMs, cold weights, 3 repetitions; synthetic BF16 inputs
M,N,K,variant,us,weight_GBs,lt_mismatches,max_abs_lt,cpu_max_abs,cpu_failures,repeat_mismatches
16,83,136,cublaslt,154.720,0.15,0,0,0.000243227,0,0
16,83,136,native_gemv_grid132,69.696,0.32,0,0,0.000243227,0,0
16,83,136,native_gemv_grid528,69.568,0.32,0,0,0.000243227,0,0
16,83,136,existing_s1,130.592,0.17,0,0,0.000243227,0,0
16,83,136,transpose_bk128_d3_s1,96.352,0.23,0,0,0.000243227,0,0
16,83,136,transpose_bk256_d2_s1,104.736,0.22,0,0,0.000243227,0,0
16,83,136,driver_transpose_bk128_d3_s1,96.960,0.23,0,0,0.000243227,0,0
16,83,136,driver_transpose_bk256_d2_s1,106.880,0.21,0,0,0.000243227,0,0
16,83,136,existing_s4,102.816,0.22,0,0,0.000243227,0,0
16,83,136,transpose_bk128_d3_s4,95.584,0.24,0,0,0.000243227,0,0
16,83,136,transpose_bk256_d2_s4,122.368,0.18,0,0,0.000243227,0,0
16,83,136,driver_transpose_bk128_d3_s4,96.096,0.23,0,0,0.000243227,0,0
16,83,136,driver_transpose_bk256_d2_s4,132.896,0.17,0,0,0.000243227,0,0
16,83,136,existing_s8,90.336,0.25,0,0,0.000243227,0,0
16,83,136,transpose_bk128_d3_s8,103.744,0.22,0,0,0.000243227,0,0
16,83,136,transpose_bk256_d2_s8,129.984,0.17,0,0,0.000243227,0,0
16,83,136,driver_transpose_bk128_d3_s8,103.776,0.22,0,0,0.000243227,0,0
16,83,136,driver_transpose_bk256_d2_s8,132.032,0.17,0,0,0.000243227,0,0
========= ERROR SUMMARY: 0 errors
