1024,4096,3840,bf16,body,54.272,0.0016832431,0.12159599,PASS
1024,4096,3840,bf16,segment,57.536,0.0016832431,0.12159599,PASS
1024,4096,3840,bf16,queue,56.608,0.0016832431,0.12159599,PASS
1024,4096,3840,fp8,body,37.280,0.0020810811,0.062446594,PASS
1024,4096,3840,fp8,segment,41.888,0.0020810811,0.062446594,PASS
1024,4096,3840,fp8,queue,40.064,0.0020810811,0.062446594,PASS
1024,4096,3840,bf16,body,53.888,0.0016832431,0.12159599,PASS
1024,4096,3840,bf16,segment,56.928,0.0016832431,0.12159599,PASS
1024,4096,3840,bf16,queue,56.000,0.0016832431,0.12159599,PASS
1024,4096,3840,fp8,body,37.664,0.0020810811,0.062446594,PASS
1024,4096,3840,fp8,segment,42.528,0.0020810811,0.062446594,PASS
1024,4096,3840,fp8,queue,42.080,0.0020810811,0.062446594,PASS
1024,4096,3840,bf16,body,53.888,0.0016832431,0.12159599,PASS
1024,4096,3840,bf16,segment,57.280,0.0016832431,0.12159599,PASS
1024,4096,3840,bf16,queue,56.224,0.0016832431,0.12159599,PASS
1024,4096,3840,fp8,body,37.312,0.0020810811,0.062446594,PASS
1024,4096,3840,fp8,segment,42.208,0.0020810811,0.062446594,PASS
1024,4096,3840,fp8,queue,40.128,0.0020810811,0.062446594,PASS
