# NVIDIA H100 80GB HBM3, 132 SMs, cold weights, 11 repetitions; synthetic BF16 inputs
M,N,K,variant,us,weight_GBs,lt_mismatches,max_abs_lt,cpu_max_abs,cpu_failures,repeat_mismatches
8,512,3840,driver_transpose_bk128_d3_s8,9.664,406.89,1,1.525879e-05,0.001867683,0,0
8,512,3840,driver_transpose_bk256_d2_s8,9.504,413.74,1,1.525879e-05,0.001867683,0,0
16,512,3840,cublaslt,10.624,370.12,0,0,0.001867683,0,0
16,512,3840,native_gemv_grid132,25.248,155.74,5,1.525879e-05,0.001867683,0,0
16,512,3840,native_gemv_grid528,34.528,113.88,5,1.525879e-05,0.001867683,0,0
16,512,3840,existing_s1,38.432,102.31,14,0.001953125,0.001867683,0,0
16,512,3840,transpose_bk128_d3_s1,33.376,117.81,14,0.001953125,0.001867683,0,0
16,512,3840,transpose_bk256_d2_s1,26.272,149.67,14,0.001953125,0.001867683,0,0
16,512,3840,driver_transpose_bk128_d3_s1,33.088,118.84,14,0.001953125,0.001867683,0,0
16,512,3840,driver_transpose_bk256_d2_s1,30.560,128.67,14,0.001953125,0.001867683,0,0
16,512,3840,existing_s4,17.088,230.11,3,7.629395e-06,0.001867683,0,1
16,512,3840,transpose_bk128_d3_s4,14.432,272.46,4,7.629395e-06,0.001867683,0,0
16,512,3840,transpose_bk256_d2_s4,12.000,327.68,4,7.629395e-06,0.001867683,0,0
16,512,3840,driver_transpose_bk128_d3_s4,15.552,252.84,4,7.629395e-06,0.001867683,0,0
16,512,3840,driver_transpose_bk256_d2_s4,13.088,300.44,4,7.629395e-06,0.001867683,0,0
16,512,3840,existing_s8,12.928,304.16,7,0.0009765625,0.001867683,0,0
16,512,3840,transpose_bk128_d3_s8,9.984,393.85,6,0.0009765625,0.001867683,0,0
16,512,3840,transpose_bk256_d2_s8,9.568,410.97,6,0.0009765625,0.001867683,0,0
16,512,3840,driver_transpose_bk128_d3_s8,10.368,379.26,6,0.0009765625,0.001867683,0,0
16,512,3840,driver_transpose_bk256_d2_s8,9.952,395.11,6,0.0009765625,0.001867683,0,0
1,2048,3840,cublaslt,13.056,1204.71,0,0,0.000910902,0,0
1,2048,3840,native_gemv_grid132,15.360,1024.00,2,0.0009765625,0.000910902,0,0
1,2048,3840,native_gemv_grid528,16.000,983.04,2,0.0009765625,0.000910902,0,0
1,2048,3840,existing_s1,39.072,402.56,5,6.103516e-05,0.000910902,0,0
1,2048,3840,transpose_bk128_d3_s1,29.824,527.38,5,6.103516e-05,0.000910902,0,0
1,2048,3840,transpose_bk256_d2_s1,22.816,689.37,5,6.103516e-05,0.000910902,0,0
1,2048,3840,driver_transpose_bk128_d3_s1,28.288,556.02,5,6.103516e-05,0.000910902,0,0
1,2048,3840,driver_transpose_bk256_d2_s1,24.928,630.96,5,6.103516e-05,0.000910902,0,0
1,2048,3840,existing_s4,17.856,880.86,1,0.0009765625,0.000910902,0,0
1,2048,3840,transpose_bk128_d3_s4,12.960,1213.63,1,0.0009765625,0.000910902,0,0
1,2048,3840,transpose_bk256_d2_s4,12.960,1213.63,1,0.0009765625,0.000910902,0,0
1,2048,3840,driver_transpose_bk128_d3_s4,13.120,1198.83,1,0.0009765625,0.000910902,0,0
1,2048,3840,driver_transpose_bk256_d2_s4,13.376,1175.89,1,0.0009765625,0.000910902,0,0
1,2048,3840,existing_s8,16.576,948.88,2,0.0009765625,0.000910902,0,0
1,2048,3840,transpose_bk128_d3_s8,12.640,1244.35,2,0.0009765625,0.000910902,0,0
1,2048,3840,transpose_bk256_d2_s8,12.320,1276.68,2,0.0009765625,0.000910902,0,0
1,2048,3840,driver_transpose_bk128_d3_s8,12.736,1234.97,2,0.0009765625,0.000910902,0,0
1,2048,3840,driver_transpose_bk256_d2_s8,12.384,1270.08,2,0.0009765625,0.000910902,0,0
2,2048,3840,cublaslt,12.928,1216.63,0,0,0.001901201,0,0
2,2048,3840,native_gemv_grid132,19.104,823.32,3,0.0009765625,0.001901201,0,0
2,2048,3840,native_gemv_grid528,19.648,800.52,3,0.0009765625,0.001901201,0,0
2,2048,3840,existing_s1,38.560,407.90,7,6.103516e-05,0.001901201,0,0
2,2048,3840,transpose_bk128_d3_s1,29.824,527.38,7,6.103516e-05,0.001901201,0,0
2,2048,3840,transpose_bk256_d2_s1,22.816,689.37,7,6.103516e-05,0.001901201,0,0
2,2048,3840,driver_transpose_bk128_d3_s1,28.224,557.28,7,6.103516e-05,0.001901201,0,0
2,2048,3840,driver_transpose_bk256_d2_s1,24.800,634.22,7,6.103516e-05,0.001901201,0,0
2,2048,3840,existing_s4,18.016,873.04,1,0.0009765625,0.001901201,0,0
2,2048,3840,transpose_bk128_d3_s4,13.536,1161.99,1,0.0009765625,0.001901201,0,0
2,2048,3840,transpose_bk256_d2_s4,12.480,1260.31,1,0.0009765625,0.001901201,0,0
2,2048,3840,driver_transpose_bk128_d3_s4,13.984,1124.76,1,0.0009765625,0.001901201,0,0
2,2048,3840,driver_transpose_bk256_d2_s4,12.864,1222.69,1,0.0009765625,0.001901201,0,0
2,2048,3840,existing_s8,16.064,979.12,3,0.0009765625,0.001901201,0,0
2,2048,3840,transpose_bk128_d3_s8,12.384,1270.08,3,0.0009765625,0.001901201,0,0
2,2048,3840,transpose_bk256_d2_s8,12.960,1213.63,3,0.0009765625,0.001901201,0,0
