model,repeat,input_tokens,output_tokens,concurrency,max_model_len,completed,failed,mean_ttft_ms,median_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_itl_ms,mean_e2el_ms,output_throughput,request_throughput
gemma12b,1,1024,512,1,65536,32,0,47.613070129955304,47.660663520218804,10.48089489369829,10.480884920681305,11.34671219449956,5403.350360809782,94.75139962878315,0.18506132739996708
gemma12b,1,1024,512,4,65536,32,0,130.7971743754024,150.45311002177186,10.89010773898869,10.849803106685274,11.18247827864252,5695.642228998622,359.53551698633885,0.7022178066139431
gemma12b,1,1024,512,16,65536,32,0,434.1628257825505,448.90946699888445,12.713287092220238,12.669331294522255,13.383927196264267,6930.652529907093,1180.6410512546686,2.3059395532317746
gemma12b,1,4096,512,1,65536,32,0,172.68582809447253,173.71957350405864,10.512447637174667,10.512307437363221,11.449553608545102,5544.546570690727,92.33878463060339,0.18034918873164724
gemma12b,1,4096,512,4,65536,32,0,469.727033874733,542.3964134824928,11.206125341849713,11.062895682029364,11.941382518853061,6196.057083559936,330.4653527707766,0.645440142130423
gemma12b,1,4096,512,16,65536,32,0,1296.0641076515458,1257.290218520211,14.960092055901097,15.014588033268776,22.429775617201805,8940.671148217007,914.0990597474282,1.7853497260691957
gemma12b,1,8192,512,1,65536,32,0,351.64401427755365,352.97781351255253,10.533477880152283,10.533635898214381,11.43109320255462,5734.251211035371,89.28415436403945,0.17438311399226455
gemma12b,1,8192,512,4,65536,32,0,996.1969298128679,1150.3039420058485,11.632726452666454,11.32684072700362,11.97948039334733,6940.520147125426,294.9705039859433,0.5761142655975455
gemma12b,1,8192,512,16,65536,32,0,2304.4102728417784,1655.731110018678,18.585268279420855,19.774729420714365,326.33644128916785,11801.482363625837,691.5629093407437,1.35070880730614
gemma12b,1,16384,512,1,65536,32,0,755.5459091618104,758.3132400177419,10.570882484386312,10.571439339507757,10.971117019653322,6157.266858683215,83.15042396892869,0.16240317181431385
gemma12b,1,16384,512,4,65536,32,0,1968.7025798775721,2128.8143415004015,12.890670446914873,12.581022345340664,12.397057454800231,8555.835178251073,239.25009782849293,0.46728534732127525
gemma12b,1,16384,512,16,65536,32,0,4518.426273372825,2859.490592003567,26.7258347854284,29.808534360071555,367.1880918939132,18175.327848726738,448.50459066219736,0.8759855286371042
gemma12b,1,32768,512,1,65536,32,0,1743.1909813549282,1745.8691920037381,10.64111371892986,10.641443572410815,11.589967387262732,7180.800091728088,71.29875675490105,0.1392553842869161
gemma12b,1,32768,512,4,65536,32,0,4304.533684749913,4482.525853469269,15.871050229080003,15.525184285716717,343.4903459768975,12414.640351809794,164.85393242824387,0.3219803367739138
gemma12b,1,32768,512,16,65536,32,0,9671.674915434778,5318.88977548806,46.5356113034613,54.67546066732206,490.44442093407264,33451.3722915035,243.53806538424328,0.47566028395360016
