input_tokens,concurrency,cached_tokens,baseline_ttft_ms,occ1_ttft_ms,baseline_tpot_p50_ms,occ1_tpot_p50_ms,baseline_output_tok_s,occ1_output_tok_s
1024,1,960,426.3620839919895,154.07805901486427,28.66655696679147,28.673087355620677,24.326278805817267,30.668088064083204
1024,4,960,694.8617249727249,304.7076039365493,58.41628264545673,54.12591280671017,50.24154681573874,63.23370243848982
1024,8,960,1477.9379684478045,658.96992594935,76.55386869314938,76.69061251855906,66.4410585095851,84.24913256322807
4096,1,3872,1156.0518719488755,301.60985596012324,28.941506065518386,28.950420320935308,15.578261563903387,26.667365685008853
4096,4,3872,2283.935588959139,867.0554914860986,51.71718953492781,53.3405261286985,32.91023301804939,50.73541839301225
4096,8,3872,4567.555848509073,1335.5143129592761,78.76969800112889,78.81000027578744,36.5015936338772,67.68441867522014
16384,1,15552,2295.2176720136777,702.5202510412782,30.029838420300475,30.01657290188896,9.911607187618236,19.564443328228904
16384,4,15552,6081.286717555486,2642.6924110855907,128.93954738636592,56.13458296659613,12.504205072510052,29.16581496449258
16384,8,15552,15682.321885949932,5172.779386048205,87.45613021047545,87.60501812925682,13.910413873295065,32.40906578646217
