shape,M,N,K,arm,splitK,BM,BN,BK,stages,threads,grid,repeat,samples,median_us,p10_us,p90_us,logical_weight_GBs,physical_weight_passes,flush_bytes
gemma12_4096x3840,16,4096,3840,cublasLt,0,0,0,0,0,0,0,0,40,28.048000,27.424000,30.816000,1121.551626,0,268435456
gemma12_4096x3840,16,4096,3840,scalar,0,0,0,0,0,256,132,0,40,76.704002,76.096001,77.568001,410.112641,2,268435456
gemma12_4096x3840,16,4096,3840,zg0,1,16,128,64,4,256,132,0,40,52.879997,52.256001,54.112000,594.880528,1,268435456
gemma12_4096x3840,16,4096,3840,zg0,2,16,128,64,4,256,132,0,40,33.456001,32.703999,34.880001,940.258250,1,268435456
gemma12_4096x3840,16,4096,3840,zg0,4,16,128,64,4,256,132,0,40,28.976000,28.255999,29.920000,1085.632247,1,268435456
gemma12_4096x3840,16,4096,3840,zg0,8,16,128,64,4,256,132,0,40,31.119999,30.271999,32.320000,1010.838110,1,268435456
gemma12_4096x3840,16,4096,3840,zg0,16,16,128,64,4,256,132,0,40,32.864002,32.383999,33.792000,957.195602,1,268435456
gemma12_4096x3840,16,4096,3840,cublasLt,0,0,0,0,0,0,0,1,40,28.112000,27.167999,33.759998,1118.998293,0,268435456
gemma12_4096x3840,16,4096,3840,scalar,0,0,0,0,0,256,132,1,40,76.576004,75.903999,77.344002,410.798119,2,268435456
gemma12_4096x3840,16,4096,3840,zg0,1,16,128,64,4,256,132,1,40,51.984001,51.327999,53.119999,605.133887,1,268435456
gemma12_4096x3840,16,4096,3840,zg0,2,16,128,64,4,256,132,1,40,33.152000,32.607998,34.591999,948.880309,1,268435456
gemma12_4096x3840,16,4096,3840,zg0,4,16,128,64,4,256,132,1,40,28.928001,27.968000,30.496000,1087.433555,1,268435456
gemma12_4096x3840,16,4096,3840,zg0,8,16,128,64,4,256,132,1,40,31.440002,30.559999,33.375999,1000.549556,1,268435456
gemma12_4096x3840,16,4096,3840,zg0,16,16,128,64,4,256,132,1,40,33.903999,32.960003,34.655998,927.833884,1,268435456
gemma12_2048x3840,16,2048,3840,cublasLt,0,0,0,0,0,0,0,0,40,23.344002,21.407999,25.280001,673.776503,0,268435456
gemma12_2048x3840,16,2048,3840,scalar,0,0,0,0,0,256,132,0,40,46.815998,46.271999,47.327999,335.967191,2,268435456
gemma12_2048x3840,16,2048,3840,zg0,1,16,128,64,4,256,132,0,40,52.464001,51.680000,53.344002,299.798719,1,268435456
gemma12_2048x3840,16,2048,3840,zg0,2,16,128,64,4,256,132,0,40,31.568001,31.199999,32.864002,498.246325,1,268435456
gemma12_2048x3840,16,2048,3840,zg0,4,16,128,64,4,256,132,0,40,22.752001,22.208000,23.840000,691.308017,1,268435456
gemma12_2048x3840,16,2048,3840,zg0,8,16,128,64,4,256,132,0,40,20.591999,20.000000,21.760000,763.822844,1,268435456
gemma12_2048x3840,16,2048,3840,zg0,16,16,128,64,4,256,132,0,40,23.840000,23.199999,25.216000,659.758389,1,268435456
gemma12_2048x3840,16,2048,3840,cublasLt,0,0,0,0,0,0,0,1,40,23.312000,21.439999,25.375999,674.701441,0,268435456
gemma12_2048x3840,16,2048,3840,scalar,0,0,0,0,0,256,132,1,40,46.592003,46.080002,47.072002,337.582389,2,268435456
gemma12_2048x3840,16,2048,3840,zg0,1,16,128,64,4,256,132,1,40,51.647999,51.040001,52.959999,304.535316,1,268435456
gemma12_2048x3840,16,2048,3840,zg0,2,16,128,64,4,256,132,1,40,31.647999,30.528000,32.639999,496.986886,1,268435456
gemma12_2048x3840,16,2048,3840,zg0,4,16,128,64,4,256,132,1,40,22.751999,21.952000,23.935999,691.308076,1,268435456
gemma12_2048x3840,16,2048,3840,zg0,8,16,128,64,4,256,132,1,40,20.927999,20.128000,22.080000,751.559633,1,268435456
gemma12_2048x3840,16,2048,3840,zg0,16,16,128,64,4,256,132,1,40,24.911999,24.095999,26.048000,631.368065,1,268435456
gemma12_3840x4096,16,3840,4096,cublasLt,0,0,0,0,0,0,0,0,40,29.616001,27.392000,37.280003,1062.171729,0,268435456
gemma12_3840x4096,16,3840,4096,scalar,0,0,0,0,0,256,132,0,40,76.127998,75.456001,77.344002,413.215637,2,268435456
gemma12_3840x4096,16,3840,4096,zg0,1,16,128,64,4,256,132,0,40,55.664001,55.167999,59.392002,565.127910,1,268435456
gemma12_3840x4096,16,3840,4096,zg0,2,16,128,64,4,256,132,0,40,35.392002,34.240002,36.928001,888.824495,1,268435456
gemma12_3840x4096,16,3840,4096,zg0,4,16,128,64,4,256,132,0,40,29.312000,28.480001,32.223999,1073.187773,1,268435456
