shape,M,N,K,arm,splitK,BM,BN,BK,stages,threads,grid,repeat,samples,median_us,p10_us,p90_us,logical_weight_GBs,physical_weight_passes,flush_bytes
gemma12_4096x3840,4,4096,3840,cublasLt,0,0,0,0,0,0,0,0,40,32.992001,29.920000,41.664001,953.482056,0,268435456
gemma12_4096x3840,4,4096,3840,scalar,0,0,0,0,0,256,132,0,40,39.711998,38.048000,44.287998,792.135453,1,268435456
gemma12_4096x3840,4,4096,3840,zg0,1,16,128,64,4,256,132,0,40,54.751999,52.576000,59.327999,574.541204,1,268435456
gemma12_4096x3840,4,4096,3840,zg0,2,16,128,64,4,256,132,0,40,34.688000,32.448002,41.824001,906.863469,1,268435456
gemma12_4096x3840,4,4096,3840,zg0,4,16,128,64,4,256,132,0,40,29.327999,27.615999,37.087997,1072.602291,1,268435456
gemma12_4096x3840,4,4096,3840,zg0,8,16,128,64,4,256,132,0,40,31.136002,28.288000,37.376003,1010.318539,1,268435456
gemma12_4096x3840,4,4096,3840,zg0,16,16,128,64,4,256,132,0,40,32.944000,31.392000,41.152000,954.871297,1,268435456
gemma12_4096x3840,4,4096,3840,cublasLt,0,0,0,0,0,0,0,1,40,37.952003,31.520002,42.560001,828.870066,0,268435456
gemma12_4096x3840,4,4096,3840,scalar,0,0,0,0,0,256,132,1,40,42.256001,38.271999,44.447998,744.445286,1,268435456
gemma12_4096x3840,4,4096,3840,zg0,1,16,128,64,4,256,132,1,40,58.048000,51.295998,61.535999,541.918412,1,268435456
gemma12_4096x3840,4,4096,3840,zg0,2,16,128,64,4,256,132,1,40,38.992001,32.639999,42.304001,806.762413,1,268435456
gemma12_4096x3840,4,4096,3840,zg0,4,16,128,64,4,256,132,1,40,35.599998,28.384001,37.856003,883.631461,1,268435456
gemma12_4096x3840,4,4096,3840,zg0,8,16,128,64,4,256,132,1,40,37.071999,30.688002,40.352001,848.545533,1,268435456
gemma12_4096x3840,4,4096,3840,zg0,16,16,128,64,4,256,132,1,40,39.552002,33.279999,42.335999,795.339806,1,268435456
gemma12_2048x3840,4,2048,3840,cublasLt,0,0,0,0,0,0,0,0,40,25.680000,23.104000,29.312000,612.485981,0,268435456
