dtype,prompt_tokens,concurrency,requests_per_runtime,control_median_ms,candidate_median_ms,reduction_pct
bf16,1055,1,12,133.1975479843095,123.20265948073938,7.503808181774863
bf16,1055,8,96,563.772345543839,488.64053696161136,13.326621849419073
bf16,16415,1,12,205.55297000100836,195.65547199454159,4.815059595790916
bf16,16415,8,96,1202.3003655485809,1143.9918080577627,4.84974962676763
fp8,1055,1,12,124.9336909968406,112.84421000164002,9.676718024368869
fp8,1055,8,96,551.1409309692681,461.8814625428058,16.195398202322853
fp8,16415,1,12,192.42906145518646,184.66366542270407,4.035459079703929
fp8,16415,8,96,1191.7582685127854,1125.925475033,5.524005599049808
