m,shape,repeat,control_ms,cursor_ms,latency_reduction_pct,cursor_speedup_vs_lt
8192,g31_down,2,2.834,2.6982,4.791813690896262,1.1533
8192,qwen_o,2,0.7294,0.6933,4.949273375377028,0.9726
8192,qwen_down,2,1.9897,1.9532,1.8344474041312786,1.0124
8192,tail,2,0.1709,0.1753,-2.574605032182564,1.3282
8192,g12_q_local,2,0.3818,0.3643,4.5835515976951235,0.8976
8192,g12_q_full,2,0.7611,0.7369,3.1796084614373887,0.9831
8192,g12_gate,2,1.3907,1.3728,1.2871215934421532,1.0124
8192,g31_q_local,2,1.0334,0.9837,4.809367137604037,1.03
8192,g31_q_full,2,2.0789,2.0187,2.895762181923134,1.019
8192,g31_gate,2,2.7226,2.5973,4.602218467641217,1.1518
65,g12_o_local,1,0.046,0.043,6.521739130434789,0.3511
65,g12_o_full,1,0.0869,0.079,9.090909090909093,0.3374
65,g12_down,1,0.1541,0.1417,8.046722907203108,0.3293
65,g31_o_local,1,0.0864,0.0803,7.0601851851851976,0.4223
65,g31_o_full,1,0.165,0.1527,7.454545454545459,0.4066
65,g31_down,1,0.2142,0.1966,8.216619981325868,0.444
65,qwen_o,1,0.0664,0.0618,6.927710843373491,0.4269
65,qwen_down,1,0.1744,0.1603,8.0848623853211,0.4067
65,tail,1,0.0143,0.014,2.0979020979020935,0.8637
65,g12_q_local,1,0.0437,0.0408,6.636155606407323,0.3723
65,g12_q_full,1,0.0492,0.049,0.40650406504064707,0.5321
65,g12_gate,1,0.0553,0.0588,-6.329113924050622,0.7663
65,g31_q_local,1,0.0647,0.0654,-1.0819165378670892,0.5214
65,g31_q_full,1,0.0799,0.0799,0.0,0.7888
65,g31_gate,1,0.0883,0.0889,-0.679501698754259,0.9321
65,g12_o_local,2,0.046,0.043,6.521739130434789,0.351
65,g12_o_full,2,0.0856,0.0863,-0.8177570093458097,0.308
65,g12_down,2,0.154,0.1417,7.987012987012987,0.3288
65,g31_o_local,2,0.0867,0.0803,7.381776239907733,0.422
65,g31_o_full,2,0.1655,0.1518,8.277945619335359,0.4079
65,g31_down,2,0.2143,0.2413,-12.599160055996261,0.3613
65,qwen_o,2,0.0664,0.0616,7.2289156626506035,0.4258
65,qwen_down,2,0.1745,0.1605,8.022922636103146,0.4055
65,tail,2,0.0141,0.0139,1.4184397163120588,0.8676
65,g12_q_local,2,0.0436,0.0407,6.65137614678899,0.3703
65,g12_q_full,2,0.0488,0.0535,-9.631147540983598,0.4863
65,g12_gate,2,0.0551,0.0553,-0.3629764065335772,0.8133
65,g31_q_local,2,0.0643,0.0652,-1.3996889580093264,0.5245
65,g31_q_full,2,0.0799,0.0797,0.25031289111390187,0.79
65,g31_gate,2,0.088,0.0886,-0.6818181818181834,0.9329
