shape,M,N,K,arm,splitK,BM,BN,BK,stages,threads,grid,repeat,samples,median_us,p10_us,p90_us,logical_weight_GBs,physical_weight_passes,flush_bytes
gemma12_3840x4096,8,3840,4096,zg0,8,16,128,64,4,256,132,1,40,29.760000,29.375999,32.639999,1057.032258,1,268435456
gemma12_3840x4096,8,3840,4096,zg0,16,16,128,64,4,256,132,1,40,33.248001,32.000000,35.456001,946.140520,1,268435456
gemma12_15360x3840,8,15360,3840,cublasLt,0,0,0,0,0,0,0,0,40,61.599998,60.223999,65.407997,1915.012987,0,268435456
gemma12_15360x3840,8,15360,3840,scalar,0,0,0,0,0,256,132,0,40,124.831993,124.159996,125.663994,944.988524,1,268435456
gemma12_15360x3840,8,15360,3840,zg0,1,16,128,64,4,256,132,0,40,68.480003,66.688004,72.288002,1722.616822,1,268435456
gemma12_15360x3840,8,15360,3840,zg0,2,16,128,64,4,256,132,0,40,65.840004,65.119995,68.736000,1791.688730,1,268435456
gemma12_15360x3840,8,15360,3840,zg0,4,16,128,64,4,256,132,0,40,68.768005,67.167999,70.912003,1715.402318,1,268435456
gemma12_15360x3840,8,15360,3840,zg0,8,16,128,64,4,256,132,0,40,71.199997,69.695999,72.736000,1656.808989,1,268435456
gemma12_15360x3840,8,15360,3840,zg0,16,16,128,64,4,256,132,0,40,75.744003,73.919998,76.704002,1557.414449,1,268435456
gemma12_15360x3840,8,15360,3840,cublasLt,0,0,0,0,0,0,0,1,40,61.040001,60.063999,65.344002,1932.581913,0,268435456
gemma12_15360x3840,8,15360,3840,scalar,0,0,0,0,0,256,132,1,40,124.624001,123.967995,125.568001,946.565670,1,268435456
gemma12_15360x3840,8,15360,3840,zg0,1,16,128,64,4,256,132,1,40,66.912003,66.016006,68.159996,1762.984218,1,268435456
gemma12_15360x3840,8,15360,3840,zg0,2,16,128,64,4,256,132,1,40,65.728004,63.968002,66.816002,1794.741754,1,268435456
gemma12_15360x3840,8,15360,3840,zg0,4,16,128,64,4,256,132,1,40,68.416000,67.167999,70.079994,1724.228251,1,268435456
gemma12_15360x3840,8,15360,3840,zg0,8,16,128,64,4,256,132,1,40,71.199997,69.920006,73.536003,1656.808989,1,268435456
gemma12_15360x3840,8,15360,3840,zg0,16,16,128,64,4,256,132,1,40,76.543999,75.167999,78.368004,1541.137124,1,268435456
gemma12_3840x15360,8,3840,15360,cublasLt,0,0,0,0,0,0,0,0,40,62.992004,61.952000,67.039993,1872.694829,0,268435456
gemma12_3840x15360,8,3840,15360,scalar,0,0,0,0,0,256,132,0,40,211.087997,210.080002,212.608002,558.841810,1,268435456
gemma12_3840x15360,8,3840,15360,zg0,1,16,128,64,4,256,132,0,40,173.552002,172.895996,174.848007,679.708675,1,268435456
gemma12_3840x15360,8,3840,15360,zg0,2,16,128,64,4,256,132,0,40,93.760002,93.024002,96.223999,1258.156997,1,268435456
gemma12_3840x15360,8,3840,15360,zg0,4,16,128,64,4,256,132,0,40,67.888000,66.400002,69.344002,1737.638463,1,268435456
gemma12_3840x15360,8,3840,15360,zg0,8,16,128,64,4,256,132,0,40,65.984001,64.639999,67.264000,1787.778855,1,268435456
gemma12_3840x15360,8,3840,15360,zg0,16,16,128,64,4,256,132,0,40,68.800003,67.519997,70.431999,1714.604651,1,268435456
gemma12_3840x15360,8,3840,15360,cublasLt,0,0,0,0,0,0,0,1,40,63.535999,62.144001,71.840004,1856.660791,0,268435456
gemma12_3840x15360,8,3840,15360,scalar,0,0,0,0,0,256,132,1,40,211.279999,210.559998,216.064011,558.333964,1,268435456
gemma12_3840x15360,8,3840,15360,zg0,1,16,128,64,4,256,132,1,40,172.863998,171.903992,178.847992,682.413921,1,268435456
gemma12_3840x15360,8,3840,15360,zg0,2,16,128,64,4,256,132,1,40,93.952003,92.928001,100.896004,1255.585831,1,268435456
gemma12_3840x15360,8,3840,15360,zg0,4,16,128,64,4,256,132,1,40,67.712006,65.888000,74.944000,1742.154808,1,268435456
gemma12_3840x15360,8,3840,15360,zg0,8,16,128,64,4,256,132,1,40,66.768005,65.119995,72.991997,1766.786278,1,268435456
gemma12_3840x15360,8,3840,15360,zg0,16,16,128,64,4,256,132,1,40,69.727997,68.384003,75.584000,1691.785223,1,268435456
gemma12_8192x3840,8,8192,3840,cublasLt,0,0,0,0,0,0,0,0,40,41.216003,40.288002,43.712002,1526.459483,0,268435456
gemma12_8192x3840,8,8192,3840,scalar,0,0,0,0,0,256,132,0,40,74.175995,73.664001,74.879997,848.179554,1,268435456
gemma12_8192x3840,8,8192,3840,zg0,1,16,128,64,4,256,132,0,40,55.279999,54.079998,55.968002,1138.107091,1,268435456
gemma12_8192x3840,8,8192,3840,zg0,2,16,128,64,4,256,132,0,40,44.176003,43.007999,45.312000,1424.179519,1,268435456
gemma12_8192x3840,8,8192,3840,zg0,4,16,128,64,4,256,132,0,40,45.568001,44.480000,47.456001,1380.674157,1,268435456
gemma12_8192x3840,8,8192,3840,zg0,8,16,128,64,4,256,132,0,40,47.407997,46.144001,49.216000,1327.087521,1,268435456
gemma12_8192x3840,8,8192,3840,zg0,16,16,128,64,4,256,132,0,40,50.959999,49.535999,51.615997,1234.587127,1,268435456
gemma12_8192x3840,8,8192,3840,cublasLt,0,0,0,0,0,0,0,1,40,42.704002,40.863998,44.927998,1473.270753,0,268435456
gemma12_8192x3840,8,8192,3840,scalar,0,0,0,0,0,256,132,1,40,74.399994,73.760002,75.616005,845.625895,1,268435456
gemma12_8192x3840,8,8192,3840,zg0,1,16,128,64,4,256,132,1,40,55.024002,53.952000,56.799999,1143.402071,1,268435456
gemma12_8192x3840,8,8192,3840,zg0,2,16,128,64,4,256,132,1,40,44.608002,43.616001,46.656002,1410.387374,1,268435456
gemma12_8192x3840,8,8192,3840,zg0,4,16,128,64,4,256,132,1,40,45.568001,44.383999,48.448002,1380.674157,1,268435456
