input_tokens,output_tokens,concurrency,requests,mean_ttft_ms,mean_tpot_ms,output_throughput
1024,512,1,4,186.04592799965758,28.688932717712863,34.48650803318675
4096,512,1,4,876.1609299835982,28.95892147064107,32.66460766281307
8192,512,1,4,2026.307232270483,29.309852313622326,30.110687282516434
32768,512,1,4,13899.355023517273,31.46900254399233,17.077882157607934
