input,concurrency,requests,identical_text,plow_ttft_ms_p50,plow_ttft_ms_p95,plow_ttft_ms_p99,plow_latency_ms_p50,plow_latency_ms_p95,plow_latency_ms_p99,plow_tpot_ms_p50,plow_tpot_ms_p95,plow_tpot_ms_p99,plow_chunk_gap_ms_p50,plow_chunk_gap_ms_p95,plow_chunk_gap_ms_p99,plow_output_tok_s_median_wave,plow_cache_misses,plow_cache_count_mismatches,vllm_ttft_ms_p50,vllm_ttft_ms_p95,vllm_ttft_ms_p99,vllm_latency_ms_p50,vllm_latency_ms_p95,vllm_latency_ms_p99,vllm_tpot_ms_p50,vllm_tpot_ms_p95,vllm_tpot_ms_p99,vllm_chunk_gap_ms_p50,vllm_chunk_gap_ms_p95,vllm_chunk_gap_ms_p99,vllm_output_tok_s_median_wave,vllm_cache_misses,vllm_cache_count_mismatches
1024,1,3,1,141.39719610102475,142.68906583311036,142.80389869818464,794.7537380969152,796.0432048421353,796.1578241083771,21.0760174837384,21.07876457476748,21.079008760636732,21.07159502338618,21.11613864544779,21.162912785075605,40.24231214131283,0,0,24.031618959270418,24.0490970085375,24.050650612916797,493.7315620481968,494.2833744804375,494.33242447441444,15.163275195405848,15.170577881226857,15.171227008855391,15.108076040633023,15.630214451812208,15.874106236733496,64.74639226459314,0,0
1024,4,12,8,413.037282996811,472.07009861595,472.2501061379444,1727.505964518059,1823.3438720577396,1823.5431872238405,42.40608046905348,47.12318419028193,50.572038487561294,42.38229646580294,42.54969595349394,59.370662579313034,74.0421675135289,0,0,57.4120634701103,58.34536392940208,58.38976083090529,546.22781049693,547.2974005388096,547.3113833228126,15.7719696609063,15.780197063295711,15.7804769608793,15.827620984055102,16.465865477221087,16.66772123076953,233.72536250424076,0,0
1024,8,24,13,652.8670300031081,657.9766555689275,658.223400398856,3507.855225529056,3514.1752138442826,3514.250499170739,92.10211080649206,92.13347091178049,92.14113999049239,92.08115952787921,92.3950984433759,92.925042292336,72.94295033997838,0,0,79.81766149168834,80.94231530558318,80.98717846209183,587.3339219251648,589.3747523368802,589.5620156219229,16.379120322169676,16.508385085035115,16.522382369430193,16.450640046969056,17.329237650847062,18.119285106658936,434.2664606651066,0,0
1024,16,48,23,1287.2622259892523,1291.5387545945123,1292.0936494588386,4670.163945993409,4674.11834046361,4674.765228145989,109.13420905126259,109.21376753005109,109.23021853679882,109.07767101889476,109.79054747731425,110.67444700747728,109.54626632770993,0,0,129.49432351160794,131.7881237308029,132.2022144892253,690.5898650293238,692.9102449270431,693.4583629819099,18.09587912829292,18.91095420146631,19.32575849478223,18.22663756320253,19.337569508934394,21.832220292417308,737.2644152891552,0,0
1024,32,96,65,3628.408871998545,5959.438060293905,5961.9803797628265,7012.063544476405,9340.799264318775,9346.015098801581,109.12840479173727,109.25370483047088,109.26295783588542,109.0885074227117,109.79590550414287,110.67808221559972,109.61052868877894,0,0,236.74245196161792,245.60771879623644,246.80444768164307,928.3412030199543,935.98137475783,938.2514963683207,22.300877726651848,22.404718266296832,25.946309520382314,22.61039795121178,24.210642703110352,29.383548418991268,1095.6127509328892,0,0
1024,64,192,132,8302.503618469927,15290.288185462123,15295.002282212954,11685.75018295087,18672.570574324345,18677.004858129658,109.12143514724448,109.19703327029222,109.22272733330065,109.06539100687951,109.77828007889912,110.67937115440144,109.64037094746985,0,0,383.9186835102737,428.79151493543736,451.2107671855483,1286.6104134591296,1338.8929494132753,1342.560925600119,29.797855935495107,33.246593785494746,36.21176767564799,29.390654468443245,33.74203885905443,152.332030730322,1567.879883640943,0,0
2048,1,3,2,144.78624006733298,144.81327694375068,144.81568022165447,800.9334449889138,801.0356958257034,801.0447847889736,21.167157259168885,21.168576964297362,21.16870316030878,21.163676981814206,21.20381835848093,21.22339899186045,39.92356642747538,0,0,26.89837000798434,27.583455434069037,27.644351916387677,497.19415605068207,497.88137435680255,497.9424604284577,15.172506355860781,15.19316759508764,15.195004149685584,15.199488028883934,15.65905399620533,15.74582892935723,64.29265024725191,0,0
2048,4,12,5,410.37551150657237,623.6552899004892,623.8556003244594,1929.92059601238,2020.5745162442327,2020.8404936082661,45.01475829015216,51.33752466138122,51.343599640531465,42.805530538316816,43.03639583522454,145.55874228594348,63.94005824000872,0,0,76.16462296573445,86.9907115062233,87.18286394025199,567.8374160197563,578.0695454101078,578.1022954895161,15.87435056553072,16.005028823330516,16.06338984062595,15.936093986965716,16.742653551045805,17.12880901293829,221.49254769180183,0,0
2048,8,24,12,878.059585520532,944.0700783277862,944.4192052562721,3756.381698010955,3890.4215451155324,3890.459057983244,92.85469715964169,108.03706013323405,110.33130782239529,92.80220803339034,93.16827501752414,127.32835636241401,68.09670011855577,0,0,106.99050349649042,132.73609872558154,133.2944527559448,634.6650124760345,645.2404110459611,645.3049811336678,17.019016531130838,17.56071696760163,17.809265777844214,16.672229510731995,17.61418104870245,44.96243471628987,399.26430372014113,0,0
2048,16,48,23,1961.2050910363905,1969.5089353597723,1970.2399033051915,5390.93838998815,5400.934029027121,5401.93741193274,110.67924540369742,110.7814512579822,110.79066018269758,110.60123902279884,111.29212394589558,112.34891570406033,94.87918672349008,0,0,226.72813449753448,230.00887577654794,230.41307082399726,792.2479254775681,795.1737031165976,796.2330348347314,18.241313404418648,21.777279439735256,22.24861334123078,18.627446959726512,19.75410946761258,22.632345483871163,641.702965791811,0,0
