input,concurrency,native_ttft_ms,native_tpot_ms,native_output_tok_s,fixed_ttft_ms,fixed_tpot_ms,fixed_output_tok_s,adaptive_ttft_ms,adaptive_tpot_ms,adaptive_output_tok_s
1024,1,154.07805901486427,28.673087355620677,30.668088064083204,147.8910860605538,31.093995578797355,28.771312693788293,144.95212002657354,27.661947612350264,31.904091607398602
1024,4,304.7076039365493,54.12591280671017,63.23370243848982,513.8351625064388,34.774227790729775,80.35214579194991,440.7268015202135,31.107186582014563,91.02082271514298
1024,8,658.96992594935,76.69061251855906,84.24913256322807,666.6040624841116,36.25657593628632,142.78311284416986,671.5692770085298,36.25150353294767,142.40629763946208
4096,1,301.60985596012324,28.950420320935308,26.667365685008853,299.7332790400833,31.37645093468769,25.12679309565439,296.58016096800566,27.92365209860427,27.513358993728332
4096,4,867.0554914860986,53.3405261286985,50.73541839301225,687.5472070532851,34.38007233724478,72.91230372909213,596.8217735062353,40.95804723986094,65.16525657583728
4096,8,1335.5143129592761,78.81000027578744,67.68441867522014,979.4175249990076,50.457011549658475,97.98195830335989,1406.894291518256,38.47386372546035,98.32163052420701
16384,1,702.5202510412782,30.01657290188896,19.564443328228904,698.9525239914656,32.428486644470645,18.74952268519032,699.2759830318391,28.999008677689538,19.991839144026645
16384,4,2642.6924110855907,56.13458296659613,29.16581496449258,2707.814363995567,38.68451577446033,32.70685085257328,2673.1440864969045,36.56730638824463,33.56952324433018
16384,8,5172.779386048205,87.60501812925682,32.40906578646217,5124.932684993837,47.187066805969565,38.80052552530361,5159.351594513282,47.165806726327226,38.59998605695833
