input,concurrency,ordinary_ttft_ms,ordinary_tpot_ms,ordinary_output_tok_s,packed_ttft_ms,packed_tpot_ms,packed_output_tok_s
1024,1,151.06759197078645,21.04939800131345,39.80016837522256,143.11713504139334,21.069013772742643,40.16581240867217
1024,4,316.54394953511655,48.86053637000582,66.79102260843914,271.7273025191389,45.595328272846075,74.29380553094735
4096,1,288.8772670412436,21.329641319631087,33.648373308779846,277.5653739226982,21.348040776267165,34.03455014494892
4096,4,707.9422595561482,58.0083574506364,49.237783797098395,658.686496433802,43.6056028383093,63.5993950109377
16384,1,701.0698560625315,22.400732967071235,22.889437516185335,672.7611490059644,22.432452901416728,23.348382485052674
16384,4,1731.958359014243,82.73036133933573,28.999420295454545,2641.610186023172,49.474799951102824,30.61855973643737
