context,control_prefill_ms,candidate_prefill_ms,prefill_latency_reduction_pct,speedup,control_decode_us,candidate_decode_us
1024,4.2535,4.1725,1.9043140942752945,1.0194128220491312,490.15999999999997,491.4
4096,17.326999999999998,16.497500000000002,4.787326138396697,1.0502803455068948,518.09,517.565
8192,39.183499999999995,35.939499999999995,8.278994985134048,1.090262802765759,551.345,550.85
32768,245.128,223.197,8.946754348748398,1.0982584891373988,758.225,757.3050000000001
