input_len,concurrency,ttft_ms,ttft_med,tpot_ms,tpot_med,itl_ms,itl_med,itl_p99,out_tok_s,req_per_s,ok_reqs,gen_toks
1024,16,1455.50,1647.46,100.950,100.980,100.160,0.000,813.950,141.2,1.100,64,8192
1024,32,3586.17,3688.34,115.470,116.030,114.560,0.000,932.950,221.1,1.730,64,8192
4096,16,3556.44,2168.14,110.120,110.220,109.260,0.000,829.640,109.5,0.860,64,8192
4096,32,13057.17,14224.88,118.350,120.490,117.420,0.000,940.750,135.6,1.060,64,8192
