input_len,concurrency,ttft_ms,ttft_med,tpot_ms,tpot_med,itl_ms,itl_med,itl_p99,out_tok_s,req_per_s,ok_reqs,gen_toks
128,1,31.18,30.85,10.560,10.560,10.560,10.570,11.460,93.2,0.730,32,4096
1024,1,47.51,47.70,10.640,10.640,10.640,10.660,11.560,91.5,0.720,32,4096
4096,1,171.48,171.78,10.650,10.640,10.650,10.700,11.570,84.0,0.660,32,4096
8192,1,348.61,349.88,10.650,10.650,10.650,10.730,11.580,75.2,0.590,32,4096
15000,1,675.86,676.37,10.650,10.650,10.650,10.770,11.600,63.1,0.490,32,4096
