input_len,concurrency,ttft_ms,ttft_med,tpot_ms,tpot_med,itl_ms,itl_med,itl_p99,out_tok_s,req_per_s,ok_reqs,gen_toks
128,1,37.76,37.70,5.030,5.030,5.030,5.030,5.820,189.2,1.480,32,4096
1024,1,41.52,41.58,5.080,5.080,5.080,5.080,5.820,186.4,1.460,32,4096
4096,1,92.28,93.20,5.090,5.090,5.090,5.110,5.940,173.1,1.350,32,4096
8192,1,178.44,179.93,5.090,5.090,5.100,5.140,5.970,155.0,1.210,32,4096
15000,1,350.58,353.76,5.090,5.090,5.170,5.190,6.030,128.3,1.000,32,4096
