input_len,concurrency,ttft_ms,ttft_med,tpot_ms,tpot_med,itl_ms,itl_med,itl_p99,out_tok_s,req_per_s,ok_reqs,gen_toks
1024,16,744.21,427.11,75.300,77.390,74.720,0.000,488.280,196.7,1.540,64,8192
1024,32,8625.42,10370.83,76.200,78.540,75.600,0.000,489.340,197.4,1.540,64,8192
4096,16,14050.87,17388.43,64.320,63.900,63.820,0.000,428.000,83.8,0.650,64,8192
4096,32,30310.21,37133.48,64.360,63.920,63.860,0.000,430.390,83.8,0.650,64,8192
