input_len,concurrency,ttft_ms,ttft_med,tpot_ms,tpot_med,itl_ms,itl_med,itl_p99,out_tok_s,req_per_s,ok_reqs,gen_toks,peak_mem_mib
128,1,20.97,21.06,5.390,5.390,5.350,5.390,5.450,181.4,1.420,32,4096,59334
1024,1,37.96,38.06,5.480,5.480,5.440,5.480,5.540,174.4,1.360,32,4096,59334
4096,1,102.72,102.86,5.520,5.510,5.470,5.510,5.580,159.3,1.240,32,4096,59414
8192,1,209.21,209.41,5.560,5.560,5.520,5.550,5.630,139.7,1.090,32,4096,59494
15000,1,424.56,425.41,5.640,5.640,5.590,5.640,5.700,112.2,0.880,32,4096,59576
