input_len,concurrency,ttft_ms,ttft_med,tpot_ms,tpot_med,itl_ms,itl_med,itl_p99,out_tok_s,req_per_s,ok_reqs,gen_toks
128,1,42.32,42.34,48.760,48.740,48.380,0.010,196.290,20.5,0.160,32,4096
128,4,63.26,58.76,50.650,50.700,50.250,0.000,205.110,78.8,0.620,32,4096
1024,1,71.85,72.11,49.690,49.670,49.300,0.010,199.570,20.1,0.160,32,4096
1024,4,190.06,196.31,52.000,52.020,51.590,0.000,206.830,75.2,0.590,32,4096
4096,1,181.91,182.06,50.690,50.670,50.290,0.010,203.890,19.3,0.150,32,4096
4096,4,463.20,512.94,53.510,53.570,53.090,0.000,211.560,70.4,0.550,32,4096
8192,1,373.66,374.97,51.970,51.920,51.560,0.010,209.350,18.4,0.140,32,4096
8192,4,2861.86,921.66,56.370,56.610,55.930,0.010,216.600,49.0,0.380,32,4096
