input_len,concurrency,ttft_ms,prefill_tok_s,tpot_ms,itl_ms,itl_med_ms,itl_p99_ms,decode_tok_s,req_per_s,out_tok_s,ok_reqs,gen_toks
8192,1,994.36,8238.5,250.590,250.590,250.590,251.180,3.99,0.030,3.9,3,384
16384,1,2034.44,8053.3,250.740,250.740,250.760,251.390,3.99,0.030,3.8,3,384
65536,1,8875.34,7384.1,251.540,251.540,251.530,252.250,3.98,0.020,3.1,3,384
131072,1,19943.20,6572.3,252.170,252.170,252.150,253.180,3.97,0.020,2.5,3,384
