input_len,concurrency,ttft_ms,prefill_tok_s,tpot_ms,itl_ms,itl_med_ms,itl_p99_ms,decode_tok_s,req_per_s,out_tok_s,ok_reqs,gen_toks
8192,1,1036.96,7900.0,14.210,14.210,14.280,14.560,70.37,0.350,45.0,3,384
16384,1,1091.89,15005.2,14.250,14.250,14.340,14.560,70.18,0.340,44.1,3,384
65536,1,2259.13,29009.4,14.070,14.220,14.410,14.640,71.07,0.250,31.6,3,384
131072,1,2990.15,43834.6,13.940,14.310,14.500,14.730,71.74,0.210,26.9,3,384
